ID,Country,ISO3,Unit,CTS_Name,Year,Month,Value
521,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1980,05,341.45
523,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1980,06,341.36
525,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1980,07,339.45
527,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1980,08,337.67
529,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1980,09,336.25
531,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1980,10,336.14
533,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1980,11,337.3
535,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1980,12,338.29
537,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1981,01,339.29
539,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1981,02,340.55
541,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1981,03,341.63
543,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1981,04,342.6
545,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1981,05,343.04
547,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1981,06,342.54
549,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1981,07,340.82
551,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1981,08,338.48
553,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1981,09,336.95
555,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1981,10,337.05
557,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1981,11,338.58
559,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1981,12,339.91
561,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1982,01,340.93
563,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1982,02,341.76
565,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1982,03,342.77
567,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1982,04,343.96
569,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1982,05,344.77
571,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1982,06,343.88
573,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1982,07,342.42
575,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1982,08,340.24
577,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1982,09,338.38
579,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1982,10,338.41
581,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1982,11,339.44
583,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1982,12,340.78
585,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1983,01,341.57
587,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1983,02,342.78
589,World,WLD,Parts Per Million,Atmospheric Carbon Dioxide Concentrations,1983,03,343.37
